,fr,en,hypo,No_att_hypo,prec_diff,prec,No_att_prec,rec_diff,rec,No_att_rec,pplx_diff,pplx,No_att_pplx
4,トランク に は 鍵 が かけ られ て い ま す か 。,is your trunk locked ?,do you _UNK _UNK _UNK ? ? _EOS,is are in in in in ? _EOS,-0.125,0.125,0.25,-0.2,0.2,0.4,-40.58863610550538,13.595349658019595,54.18398576352497
16,どう し て あやま っ て 彼 の 許し を こ わ な い ん だ 。,why not apologize and ask for his pardon ?,i don &apos;t _UNK to the the the . . _EOS,i don him him his _UNK . . _EOS,-0.1111111111111111,0.0,0.1111111111111111,-0.1111111111111111,0.0,0.1111111111111111,52.86156356408344,133.40826618960224,80.5467026255188
20,私 は 彼 の 親切 に こたえ た い 。,i would like to repay him for his kindness .,i &apos;m him him him . . _EOS,i want him his his . . _EOS,-0.125,0.375,0.5,-0.10000000000000003,0.3,0.4,-16.777000129999823,27.391104352315057,44.16810448231488
25,それ は 遺憾 な ところ が 多 い 。,it leaves nothing much to be desired .,that is a _UNK . . _EOS,it is a _UNK . . _EOS,-0.14285714285714285,0.14285714285714285,0.2857142857142857,-0.125,0.125,0.25,-16.14464105807164,37.0608712892612,53.20551234733284
33,まず その 辺 で す 。,that &apos;s about it .,the is is the the . _EOS,it &apos;s the the the _UNK . _EOS,-0.23214285714285715,0.14285714285714285,0.375,-0.39999999999999997,0.2,0.6,-24.564839884832274,24.97098828008513,49.535828164917405
46,私 は 一 番 列車 に 間に合 う よう に 急 い だ 。,i hurried in order to catch the first train .,i like to to to to to . . _EOS,i have a to in in in . _EOS,-0.14444444444444443,0.3,0.4444444444444444,-0.10000000000000003,0.3,0.4,1.2925903039422835,34.119556952504965,32.82696664856268
47,私 は もはや 彼 の なまけ を 我慢 出来 な い 。,i cannot put up with his idleness any longer .,i don &apos;t him him . . _EOS,i cannot &apos;t him his . . _EOS,-0.25,0.25,0.5,-0.2,0.2,0.4,12.708580165837255,43.91333561463149,31.204755448794238
50,歌 を 歌 っ て い る 少年 は 私 の 弟 で す 。,the boy singing a song is my brother .,it &apos;s the is is is is . . _EOS,the is is is is my . . _EOS,-0.14444444444444443,0.3,0.4444444444444444,-0.1111111111111111,0.3333333333333333,0.4444444444444444,3.0657257803754945,37.78077435350296,34.71504857312747
51,彼女 は ベッド の 上 に うつ伏せ に 倒れ て い た 。,she was lying face down on the bed .,she was a in her her . . _EOS,she was in the the the . . _EOS,-0.1111111111111111,0.3333333333333333,0.4444444444444444,-0.1111111111111111,0.3333333333333333,0.4444444444444444,5.000437383933473,25.421372555010475,20.420935171077
59,バス の 前 の ほう は す い て い た 。,the front of the bus was not crowded .,i was a in the . . . _EOS,i was a of of the . . _EOS,-0.1111111111111111,0.3333333333333333,0.4444444444444444,-0.1111111111111111,0.3333333333333333,0.4444444444444444,10.879245119018144,74.05327342895872,63.174028309940574
