,fr,en,hypo,No_att_hypo,prec_diff,prec,No_att_prec,rec_diff,rec,No_att_rec,pplx_diff,pplx,No_att_pplx
52,急 い で する 事 が あ る 。,i have an urgent matter to attend to .,i &apos;m a to to . . _EOS,there is a in in . . _EOS,0.375,0.5,0.125,0.3333333333333333,0.4444444444444444,0.1111111111111111,-78.89265940440521,54.510981907537406,133.4036413119426
118,参加 者 の リスト は 次 の とおり で す 。,the list of participants is as follows .,the &apos;s a is of of . . _EOS,the _UNK _UNK _UNK a _UNK . . _EOS,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.25,0.5,0.25,-0.24067499932123226,20.896847015723363,21.137522015044595
239,ちょっと 失礼 し て よ い で しょ う か 。,will you excuse me for just a moment ?,will you you me a ? ? _EOS,how you you it it ? ? _EOS,0.375,0.625,0.25,0.33333333333333337,0.5555555555555556,0.2222222222222222,-19.97084191316823,37.90831457896445,57.87915649213268
368,そう する べ き で は な い と 思 う 。,i don &apos;t think we should do that .,i don &apos;t get to to be . . _EOS,you think you you you you you not . . _EOS,0.21818181818181817,0.4,0.18181818181818185,0.2222222222222222,0.4444444444444444,0.2222222222222222,-2.0586100685150015,7.945995724585787,10.004605793100788
381,彼 の 生活 は 心配 が な い 。,his life is free from care .,his cannot is no his his . . _EOS,he has no nothing to . . _EOS,0.20833333333333331,0.3333333333333333,0.125,0.2857142857142857,0.42857142857142855,0.14285714285714285,-11.601032099730077,15.926453765707311,27.527485865437388
398,小切手 で 支払 い た い の で す が 。,i &apos;d like to pay by check .,i &apos;d like a my my . . _EOS,i want a at at at the the . . _EOS,0.26262626262626254,0.4444444444444444,0.18181818181818185,0.25,0.5,0.25,-17.877098315067702,10.691201773274258,28.56830008834196
454,バラ が 咲 い て い る 。,the roses are in bloom .,the are is _UNK _UNK . _EOS,i &apos;m _UNK _UNK . _EOS,0.26190476190476186,0.42857142857142855,0.16666666666666666,0.33333333333333337,0.5,0.16666666666666666,-40.83519582507816,9.374522079335703,50.209717904413864
484,軽 い 風邪 で す 。,it &apos;s only a slight cold .,it &apos;s a _UNK . . _EOS,i &apos;m is a is . . _EOS,0.3214285714285714,0.5714285714285714,0.25,0.2857142857142857,0.5714285714285714,0.2857142857142857,2.652838885696884,17.265920903098937,14.613082017402053
488,彼 の 助け 無し に は 、 や っ て いけ な い 。,i cannot manage without his support .,i &apos;t &apos;t his his his his . _EOS,"he is not , you you . . _EOS",0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2857142857142857,0.42857142857142855,0.14285714285714285,-6.822047079051288,20.442744458529283,27.26479153758057
495,彼女 と は よく 会 い ま す か 。,do you see her often ?,do you her her her ? ? _EOS,do she she she come ? ? _EOS,0.25,0.5,0.25,0.3333333333333333,0.6666666666666666,0.3333333333333333,-7.447319740684177,9.64841501395342,17.095734754637597
